Year,Mon,Yr,AvgTempDegF
1895-1,1,1895,19.4
1895-2,2,1895,17.6
1895-3,3,1895,36.9
1895-4,4,1895,53.1
1895-5,5,1895,62.6
1895-6,6,1895,73.4
1895-7,7,1895,71.5
1895-8,8,1895,73.4
1895-9,9,1895,68.6
1895-10,10,1895,46.1
1895-11,11,1895,39.2
1895-12,12,1895,31.5
1896-1,1,1896,27.6
1896-2,2,1896,30.5
1896-3,3,1896,33.8
1896-4,4,1896,57.6
1896-5,5,1896,68.9
1896-6,6,1896,70.2
1896-7,7,1896,74.5
1896-8,8,1896,72.8
1896-9,9,1896,62.7
1896-10,10,1896,49.8
1896-11,11,1896,41.9
1896-12,12,1896,33.5
1897-1,1,1897,23.3
1897-2,2,1897,30.7
1897-3,3,1897,40.7
1897-4,4,1897,49.2
1897-5,5,1897,57.1
1897-6,6,1897,69.4
1897-7,7,1897,76.1
1897-8,8,1897,71
1897-9,9,1897,69.5
1897-10,10,1897,59
1897-11,11,1897,40.5
1897-12,12,1897,28.8
1898-1,1,1898,31.1
1898-2,2,1898,30.7
1898-3,3,1898,44.2
1898-4,4,1898,49
1898-5,5,1898,62.1
1898-6,6,1898,72.7
1898-7,7,1898,74.9
1898-8,8,1898,72.7
1898-9,9,1898,68.4
1898-10,10,1898,51.6
1898-11,11,1898,36.4
1898-12,12,1898,26.3
1899-1,1,1899,25.4
1899-2,2,1899,19.2
1899-3,3,1899,33
1899-4,4,1899,52.7
1899-5,5,1899,63.1
1899-6,6,1899,73.3
1899-7,7,1899,75.1
1899-8,8,1899,75.7
1899-9,9,1899,65.4
1899-10,10,1899,57.9
1899-11,11,1899,43.7
1899-12,12,1899,28.3
1900-1,1,1900,30.2
1900-2,2,1900,24.6
1900-3,3,1900,34
1900-4,4,1900,52
1900-5,5,1900,64.6
1900-6,6,1900,70.4
1900-7,7,1900,75
1900-8,8,1900,78.1
1900-9,9,1900,69.3
1900-10,10,1900,60.9
1900-11,11,1900,40.8
1900-12,12,1900,30.7
1901-1,1,1901,28.2
1901-2,2,1901,21.5
1901-3,3,1901,38.9
1901-4,4,1901,47.8
1901-5,5,1901,59.6
1901-6,6,1901,72.7
1901-7,7,1901,80.4
1901-8,8,1901,74.4
1901-9,9,1901,66.2
1901-10,10,1901,54.9
1901-11,11,1901,36.8
1901-12,12,1901,24.9
1902-1,1,1902,26.4
1902-2,2,1902,19.7
1902-3,3,1902,42
1902-4,4,1902,49.4
1902-5,5,1902,66.1
1902-6,6,1902,69.2
1902-7,7,1902,75.4
1902-8,8,1902,70.3
1902-9,9,1902,62.8
1902-10,10,1902,56.1
1902-11,11,1902,47.8
1902-12,12,1902,27.9
1903-1,1,1903,25.5
1903-2,2,1903,28.2
1903-3,3,1903,45.6
1903-4,4,1903,51
1903-5,5,1903,64.9
1903-6,6,1903,65.4
1903-7,7,1903,75.4
1903-8,8,1903,71.5
1903-9,9,1903,65.6
1903-10,10,1903,53.6
1903-11,11,1903,36.4
1903-12,12,1903,22.2
1904-1,1,1904,19.1
1904-2,2,1904,22.1
1904-3,3,1904,39
1904-4,4,1904,45.6
1904-5,5,1904,61.1
1904-6,6,1904,68.9
1904-7,7,1904,72.4
1904-8,8,1904,70.4
1904-9,9,1904,66.1
1904-10,10,1904,52.4
1904-11,11,1904,40.1
1904-12,12,1904,27.9
1905-1,1,1905,20.4
1905-2,2,1905,18.4
1905-3,3,1905,44.5
1905-4,4,1905,50.5
1905-5,5,1905,62.5
1905-6,6,1905,71
1905-7,7,1905,73
1905-8,8,1905,73.2
1905-9,9,1905,66.2
1905-10,10,1905,52.1
1905-11,11,1905,40.2
1905-12,12,1905,30.6
1906-1,1,1906,33.2
1906-2,2,1906,26.9
1906-3,3,1906,29.3
1906-4,4,1906,53
1906-5,5,1906,62.9
1906-6,6,1906,69.7
1906-7,7,1906,72.7
1906-8,8,1906,75.1
1906-9,9,1906,69.8
1906-10,10,1906,51.9
1906-11,11,1906,39.4
1906-12,12,1906,31.6
1907-1,1,1907,31.4
1907-2,2,1907,27.7
1907-3,3,1907,45.8
1907-4,4,1907,41.1
1907-5,5,1907,55.2
1907-6,6,1907,66.3
1907-7,7,1907,73.4
1907-8,8,1907,70
1907-9,9,1907,63.6
1907-10,10,1907,49.8
1907-11,11,1907,37
1907-12,12,1907,31.4
1908-1,1,1908,28.5
1908-2,2,1908,26.8
1908-3,3,1908,42.9
1908-4,4,1908,50.6
1908-5,5,1908,62.2
1908-6,6,1908,69.1
1908-7,7,1908,74
